oa_rank,title,year,doi,relevance_tier,optimizers,optimization_roles,solution_representation,VC_secret_sharing_schemes,color_models,share_generation_methods,reconstruction_methods,metrics,attacks_tests,statistical_tests,reproducibility_signals,novelty_threat,exact_architecture_overlap_score_0_100
39,Design and implementation of image data sharing through a visual cryptography system with one-time password authentication.,2026.0,10.1038/s41598-026-58613-9,CORE,HHO; GA,color/intensity level determination; key optimization; feature selection; image reconstruction,binary/discrete,"(2,2); k-out-of-n; progressive",RGB; grayscale; binary,halftone; basis matrices; steganography-assisted,XOR,PSNR; MSE; SSIM; Entropy; Correlation; Execution time; Pixel expansion; Contrast; Histogram; BER,differential attack; noise attack; tampering,Wilcoxon; Friedman,code_available; data_available,VERY_HIGH,66.7
16,A Narrative Study on Visual Cryptography Techniques for Robust and Secure Image Communication: A Review,2025.0,10.70389/pjs.100156,CORE,HHO,share optimization,binary/discrete,"(2,2)",RGB; CMY; grayscale; binary,halftone; basis matrices,XOR,PSNR; MSE; SSIM; Entropy; Correlation; Pixel expansion; Contrast,brute-force,,data_available,HIGH,55.6
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,2025.0,10.58346/jowua.2025.i1.009,CORE,HHO; PSO,feature selection; S-box design,binary/discrete,,RGB,,XOR,PSNR; MSE; SSIM; NPCR; UACI; Entropy; Correlation; Execution time; Pixel expansion; Key space; Histogram; NIST,differential attack; tampering; brute-force,,repeated_runs,HIGH,51.1
90,Size-Invariant Visual Cryptography With Improved Perceptual Quality for Grayscale Image,2020.0,10.1109/access.2020.3021522,CORE,,image reconstruction,binary/discrete,"(2,2); k-out-of-n; random grid; progressive",grayscale,probabilistic; halftone; random grid; basis matrices,XOR; OR; superposition/stacking,PSNR; SSIM; Correlation; Pixel expansion; Contrast; Histogram,,,,LOW,44.4
68,A Secure and Verifiable Color Visual Cryptography Scheme with LSB Based Image Steganography,2021.0,10.30534/ijatcse/2021/031042021,CORE,,,binary/discrete,"(2,2); k-out-of-n",RGB; binary,halftone; basis matrices; steganography-assisted,XOR; OR,PSNR; MSE; SSIM; Correlation; Pixel expansion; Contrast,tampering,,,LOW,42.2
8,A Tabu Search Algorithm for General Threshold Visual Cryptography Schemes,2021.0,10.18280/isi.260310,CORE,Tabu Search,contrast optimization,binary/discrete,"(2,2); k-out-of-n; random grid; progressive",grayscale; binary,probabilistic; halftone; random grid; basis matrices; steganography-assisted,XOR; superposition/stacking,PSNR; SSIM; Correlation; Pixel expansion; Contrast,brute-force,,,LOW,35.6
12,Lossless Recovery Scheme for Grayscale Visual Cryptography Based on Random Grids,2025.0,10.52783/jisem.v10i22s.3613,CORE,PSO,threshold selection; image reconstruction,binary/discrete,"(2,2); k-out-of-n; random grid",grayscale; binary,halftone; random grid,XOR; superposition/stacking,PSNR; MSE; SSIM; Entropy; Pixel expansion; Contrast; Histogram,,,,LOW,35.6
44,Modified Elgamal based Visual Cryptography via Hybrid Optimization Framework,2024.0,10.46253/j.mr.v7i1.a5,CORE,PSO; GWO; WOA,key optimization,binary/discrete,k-out-of-n; progressive,RGB; grayscale; binary,halftone; steganography-assisted,XOR,PSNR; MSE; Correlation; Pixel expansion,,,,LOW,33.3
10,Grouped k-threshold random grid-based visual cryptography scheme,2025.0,10.48550/arxiv.2508.05394,CORE,,contrast optimization,binary/discrete,"(2,2); k-out-of-n; random grid",grayscale; binary,probabilistic; random grid; basis matrices,XOR; OR; superposition/stacking,Pixel expansion; Contrast,,,,LOW,31.1
51,Image Encryption An Intelligent Approach of Color Visual Cryptography,2013.0,10.5120/14442-2601,CORE,,,binary/discrete,"(2,2); k-out-of-n",RGB; binary,halftone; basis matrices,XOR; OR; superposition/stacking,Contrast,,,,LOW,26.7
67,Survey on computational intelligence based image encryption techniques,2020.0,10.11591/ijeecs.v19.i3.pp1428-1435,CORE,PSO; GA,,binary/discrete,,RGB; grayscale; binary,steganography-assisted,XOR,NPCR; UACI; Entropy; Correlation; Key space; Histogram,brute-force,,,LOW,26.7
78,Adaptive Particle Swarm Optimization Data Hiding for High Security Secret Image Sharing,2022.0,10.32604/csse.2022.022459,CORE,PSO; GA,,binary/discrete,k-out-of-n,RGB; grayscale,steganography-assisted,,PSNR; MSE; Entropy; Correlation; Contrast; Histogram; BER,noise attack; tampering; brute-force,,,LOW,26.7
40,"An Efficient (n, n) Visual Secret Image Sharing using Random Grids with XOR Recovery",2019.0,10.5815/ijcnis.2019.11.02,CORE,,,binary/discrete,"(2,2); k-out-of-n; random grid; progressive",grayscale; binary,random grid; basis matrices,XOR; OR; superposition/stacking,Pixel expansion; Contrast,,,,LOW,22.2
89,A Multi-Layer Visual Cryptography Framework with Adaptive Key Optimization and Kronecker Product-Based Diffusion,2026.0,10.18280/ijsse.160514,CORE,PSO; GWO; GA,feature selection; S-box design,binary/discrete,,RGB,steganography-assisted,XOR; superposition/stacking,MSE; Entropy; Correlation; Histogram,,ANOVA,,LOW,22.2
93,A Robust Visual Cryptography Technique for Photographic Grayscale Images Using Block Optimization and Blind Invisible Watermarking,2012.0,10.7763/ijcte.2012.v4.469,CORE,,image reconstruction,binary/discrete,,RGB; grayscale; binary,steganography-assisted,superposition/stacking,PSNR; Correlation,,,,LOW,15.6
26,"A Novel Integration of Proximal Policy Optimization, In-Memory Computing and Visual Cryptography for Secure Image Encryption",2025.0,10.55248/gengpi.6.0625.22135,CORE,,,binary/discrete,k-out-of-n,grayscale,halftone,superposition/stacking,PSNR; SSIM; Execution time; Pixel expansion; Key space,brute-force,,,LOW,8.9
