oa_rank,title,year,doi,relevance_tier,novelty_threat,exact_architecture_overlap_score_0_100,has_visual_cryptography,has_color_visual_cryptography,has_secret_sharing,uses_HHO,uses_binary_HHO,uses_BDA,uses_Dragonfly,uses_RGB,uses_2_2_scheme,uses_k_out_of_n,uses_random_grid,uses_probabilistic_shares,uses_XOR,uses_OR,mentions_pixel_expansion,uses_NPCR,uses_UACI,uses_PSNR,uses_entropy,uses_correlation,mentions_hybrid,mentions_multiobjective,binary_discrete_representation
39,Design and implementation of image data sharing through a visual cryptography system with one-time password authentication.,2026.0,10.1038/s41598-026-58613-9,CORE,VERY_HIGH,66.7,True,True,True,True,False,False,False,True,True,True,False,False,True,False,True,False,False,True,True,True,True,False,True
16,A Narrative Study on Visual Cryptography Techniques for Robust and Secure Image Communication: A Review,2025.0,10.70389/pjs.100156,CORE,HIGH,55.6,True,True,True,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,True,True,True,False,True
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,2025.0,10.58346/jowua.2025.i1.009,CORE,HIGH,51.1,True,True,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,True,True,True,True,False,True
90,Size-Invariant Visual Cryptography With Improved Perceptual Quality for Grayscale Image,2020.0,10.1109/access.2020.3021522,CORE,LOW,44.4,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,False,True,False,False,True
68,A Secure and Verifiable Color Visual Cryptography Scheme with LSB Based Image Steganography,2021.0,10.30534/ijatcse/2021/031042021,CORE,LOW,42.2,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,True,False,False,True
8,A Tabu Search Algorithm for General Threshold Visual Cryptography Schemes,2021.0,10.18280/isi.260310,CORE,LOW,35.6,True,False,True,False,False,False,False,False,True,True,True,True,True,False,True,False,False,True,False,True,True,False,True
12,Lossless Recovery Scheme for Grayscale Visual Cryptography Based on Random Grids,2025.0,10.52783/jisem.v10i22s.3613,CORE,LOW,35.6,True,True,True,False,False,False,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,False,True
44,Modified Elgamal based Visual Cryptography via Hybrid Optimization Framework,2024.0,10.46253/j.mr.v7i1.a5,CORE,LOW,33.3,True,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True
10,Grouped k-threshold random grid-based visual cryptography scheme,2025.0,10.48550/arxiv.2508.05394,CORE,LOW,31.1,True,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True
51,Image Encryption An Intelligent Approach of Color Visual Cryptography,2013.0,10.5120/14442-2601,CORE,LOW,26.7,True,False,True,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True
67,Survey on computational intelligence based image encryption techniques,2020.0,10.11591/ijeecs.v19.i3.pp1428-1435,CORE,LOW,26.7,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,True,True,False,True
78,Adaptive Particle Swarm Optimization Data Hiding for High Security Secret Image Sharing,2022.0,10.32604/csse.2022.022459,CORE,LOW,26.7,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,False,True
40,"An Efficient (n, n) Visual Secret Image Sharing using Random Grids with XOR Recovery",2019.0,10.5815/ijcnis.2019.11.02,CORE,LOW,22.2,True,False,True,False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True
89,A Multi-Layer Visual Cryptography Framework with Adaptive Key Optimization and Kronecker Product-Based Diffusion,2026.0,10.18280/ijsse.160514,CORE,LOW,22.2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True
93,A Robust Visual Cryptography Technique for Photographic Grayscale Images Using Block Optimization and Blind Invisible Watermarking,2012.0,10.7763/ijcte.2012.v4.469,CORE,LOW,15.6,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
26,"A Novel Integration of Proximal Policy Optimization, In-Memory Computing and Visual Cryptography for Secure Image Encryption",2025.0,10.55248/gengpi.6.0625.22135,CORE,LOW,8.9,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
77,A novel dynamic Optuna hybrid Harris Hawks Optimization approach for classification of CAD,2026.0,10.1371/journal.pone.0353605,METHOD,LOW,35.6,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
6,Feature Selection and Classification of Microarray Datasets Based on an Improved Binary Harris Hawks Optimization Algorithm,2025.0,10.14569/ijacsa.2025.0160884,METHOD,LOW,33.3,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
4,Dynamic Complex Protein Detection using Binary Harris Hawks Optimization,2020.0,10.1088/1742-6596/1642/1/012019,METHOD,LOW,31.1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
5,Smart Fraud Detection in E-Transactions Using Synthetic Minority Oversampling and Binary Harris Hawks Optimization,2023.0,10.32604/cmc.2023.036865,METHOD,LOW,31.1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
59,Hybrid Binary Grey Wolf With Harris Hawks Optimizer for Feature Selection,2021.0,10.1109/access.2021.3060096,METHOD,LOW,31.1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
92,Integrated improved Harris hawks optimization for global and engineering optimization,2024.0,10.1038/s41598-024-58029-3,METHOD,LOW,31.1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
97,EHHO-EL: Hybrid Method for Software defect Detection in Software Product Lines using Extended Harris Hawks Optimization and Ensemble Learning,,10.21203/rs.3.rs-5379879/v1,METHOD,LOW,31.1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
