label,page,matched_text,snippet,oa_rank,title,doi,relevance_tier,novelty_threat,local_pdf
optimizer:HHO,1,Harris Hawks Optimization,"ISSN: 2093-5374 / E-ISSN: 2093-5382 154 Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization Mohammed Salih Mahdi1*, Wijdan Rashid Abdulhussien2, Hayder Najm3, and Ahmed Saad Mohammed Aloqali4 1*Business Information College, University of Information Technology and Communications, Baghdad, Iraq. mohammed.salih@uoitc.edu.iq",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
optimizer:HHO,1,Harris Hawks Optimization,"tecting image data from similar means is paramount, mainly because images have become standard information actively used in a virtually endless list of applications and fields. This work proposes an image encryption technique that uses a Harris Hawks Optimization keys generator with a modified serpent algorithm by decreased round numbers and uses a sponge function to create dynamic eight unique substitution boxes (8-S-boxes). The empirical results confirmed that the modified encryption algorithm",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
optimizer:PSO,3,PSO,"and computational speed. It yields better results than other benchmark values of NPCR=99.90, UACI=32.00, and PSNR=6.0010. The authors in (Ahmad et al., 2018) proposed an optimized image encryption based on particle swarm optimization (PSO) and chaotic logistic map, in which the optimized parameter is the correlation between adjacent pixels to yield a highly encrypted image. Hence, it would improve the quality of encryption. It is highly effective in yielding excellent enc",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
optimizer:PSO,15,particle swarm optimization,"[6] Agievich, S., Marchuk, V., Maslau, A., & Semenov, V. (2016). Bash-f: another LRX sponge function. Cryptology ePrint Archive. [7] Ahmad, M., Alam, M. Z., Umayya, Z., Khan, S., & Ahmad, F. (2018). An image encryption approach using particle swarm optimization and chaotic map. International Journal of Information Technology, 10, 247-255. https://doi.org/10.1007/s41870-018-0099-y [8] Albukhnefis, A. L., Sakran, A. A., Mahe, A. S., Mousa, M. I., & Mahdi, A. M. (2023). Hybrid Intrusion Detectio",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
optimization_role:feature selection,3,feature selection,"thus making it efficient in solving complicated optimization problems (Li et al., 2024). The versatility and effectiveness of HHO have been revealed through many purposeful employs comprised of engineering design, machine learning, and feature selection. It has attracted appreciation for its capability in solving nonlinear, high-dimensional optimization problems (Mahdi & Hassan, 2018). This paper presents a new kind of image encryption, a problem that has become more sensitive due to c",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
optimization_role:S-box design,1,substitution box,ons and fields. This work proposes an image encryption technique that uses a Harris Hawks Optimization keys generator with a modified serpent algorithm by decreased round numbers and uses a sponge function to create dynamic eight unique substitution boxes (8-S-boxes). The empirical results confirmed that the modified encryption algorithm presents comparable security and superior performance to the classical Serpent. To evaluate the fitness of keys generated by a Harris Hawks Optimizatio,1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
optimization_role:S-box design,4,S-box,"expanded, so brute force attack is improbable. The authors in (Hussain et al., 2023) presented a re-engineered version of the Serpent algorithm for image encryption, including Power Associative loops and Mobius transformation to enhance S-box security. Accordingly, the new scheme enhances complexity and randomness in encryption with a larger key space than traditional Galois Field-based cryptosystems, enhancing robustness against cryptanalytic attacks. A comprehensive analys",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
reconstruction:XOR,5,XOR,"ta blocks to prepare them for encryption. • Round Function This function employs eight S-boxes, referenced as S. As such; the round function is run thirty-two times on data block B. Each cycle has three operations: A key mixing through XOR, 32 rounds using the same 4 × 4 S-box substitution, and a linear transformation referred to as LT. In its place, an additional key combining XOR for the last round is used in the LT. • Final Permutation (FP) A concluding permutation o",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
metric:PSNR,3,PSNR,"of the color levels of the shares. The outcome reveals that the proposed approach improves image quality, encryption security, and computational speed. It yields better results than other benchmark values of NPCR=99.90, UACI=32.00, and PSNR=6.0010. The authors in (Ahmad et al., 2018) proposed an optimized image encryption based on particle swarm optimization (PSO) and chaotic logistic map, in which the optimized parameter is the correlation between adjacent pixels to yield",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
metric:MSE,1,mean squared error,"te of Standards and Technology successfully surpassed the fitness of the proposed keys generator. Several analytical tests were used to evaluate the encryption methods. These tests included histogram test, correlation test, entropy test, mean squared error, peak signal-to-noise ratio, unified average changing intensity, normalized pixel difference rate, and structural similarity index. The experiments showed that the suggested encryption method significantly improved all these tests. The",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
